Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","157","Sugar beet","2020","2020","tonnes","5032","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","156","Sugar cane","2020","2020","tonnes","40292","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","45324","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","3","Albania","5510","Production","157","Sugar beet","2020","2020","tonnes","26964","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","26964","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","4","Algeria","5510","Production","157","Sugar beet","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","4","Algeria","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","7","Angola","5510","Production","156","Sugar cane","2020","2020","tonnes","807694","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","7","Angola","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","807694","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","8","Antigua and Barbuda","5510","Production","156","Sugar cane","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","8","Antigua and Barbuda","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","156","Sugar cane","2020","2020","tonnes","18045886","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","9","Argentina","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","18045886","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","1","Armenia","5510","Production","157","Sugar beet","2020","2020","tonnes","54741","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","1","Armenia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","54741","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","10","Australia","5510","Production","156","Sugar cane","2020","2020","tonnes","30283457","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","30283457","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","11","Austria","5510","Production","157","Sugar beet","2020","2020","tonnes","2091690","","Official data"
"QCL","Crops and livestock products","11","Austria","5510","Production","1723","Sugar Crops Primary","2020","2020","tonnes","2091690","A","Aggregate, may include official, semi-official, estimated or calculated data"
